Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2025-04-15,S001,P0001,Toys,East,401,11,141,9.77,53.14,5,Cloudy,0,53.62,Spring
2025-04-15,S001,P0002,Clothing,South,229,200,16,191.0,55.39,5,Rainy,1,55.45,Summer
2025-04-15,S001,P0003,Clothing,North,287,91,165,85.21,69.96,5,Cloudy,1,63.51,Autumn
2025-04-15,S001,P0004,Groceries,East,207,129,165,126.61,93.85,5,Sunny,1,101.1,Summer
2025-04-15,S001,P0005,Toys,North,179,177,116,164.05,36.05,15,Cloudy,0,33.42,Autumn
2025-04-15,S001,P0006,Groceries,East,194,102,177,88.16,23.79,15,Sunny,1,23.56,Winter
2025-04-15,S001,P0007,Toys,East,122,39,54,37.64,44.26,20,Sunny,0,40.3,Summer
2025-04-15,S001,P0008,Groceries,South,440,23,4,22.95,55.23,10,Rainy,0,50.17,Summer
2025-04-15,S001,P0009,Furniture,North,101,77,182,70.78,46.51,5,Rainy,1,42.15,Autumn
2025-04-15,S001,P0010,Furniture,North,340,311,148,330.17,68.9,15,Rainy,0,68.5,Spring
2025-04-15,S001,P0011,Furniture,East,225,123,57,100.87,89.27,10,Sunny,0,85.69,Spring
2025-04-15,S001,P0012,Clothing,North,64,36,128,33.1,95.9,10,Rainy,1,96.15,Autumn
2025-04-15,S001,P0013,Toys,West,378,81,47,76.29,51.18,10,Rainy,0,52.7,Autumn
2025-04-15,S001,P0014,Toys,East,211,17,133,15.52,91.64,5,Snowy,1,87.81,Autumn
2025-04-15,S001,P0015,Furniture,West,427,149,4,145.38,38.3,10,Cloudy,1,40.34,Autumn
2025-04-15,S001,P0016,Groceries,North,122,38,84,36.07,90.15,20,Cloudy,1,98.14,Autumn
2025-04-15,S001,P0017,Electronics,North,450,169,153,196.06,53.38,10,Snowy,1,52.45,Winter
2025-04-15,S001,P0018,Groceries,West,301,147,81,166.43,91.95,5,Sunny,0,100.91,Autumn
2025-04-15,S001,P0019,Electronics,South,191,59,56,53.55,97.55,20,Snowy,0,99.87,Autumn
2025-04-15,S001,P0020,Groceries,North,320,126,96,141.15,84.33,5,Snowy,0,87.24,Summer
2025-04-15,S002,P0001,Furniture,North,466,164,79,160.43,22.99,20,Snowy,1,23.17,Winter
2025-04-15,S002,P0002,Groceries,North,276,71,155,72.71,60.11,5,Cloudy,1,61.12,Summer
2025-04-15,S002,P0003,Groceries,South,401,141,21,162.94,63.03,5,Sunny,1,63.47,Summer
2025-04-15,S002,P0004,Clothing,North,379,219,159,250.18,79.87,10,Sunny,1,86.51,Spring
2025-04-15,S002,P0005,Electronics,South,431,245,89,221.96,68.37,15,Snowy,1,72.3,Spring
2025-04-15,S002,P0006,Groceries,North,245,186,109,199.82,47.3,15,Rainy,0,49.85,Spring
2025-04-15,S002,P0007,Toys,North,305,147,42,147.23,58.48,0,Sunny,0,61.32,Winter
2025-04-15,S002,P0008,Furniture,North,469,177,55,145.25,80.62,20,Sunny,0,88.3,Spring
2025-04-15,S002,P0009,Furniture,West,399,23,9,21.28,70.46,0,Snowy,0,74.18,Winter
2025-04-15,S002,P0010,Clothing,East,121,26,44,27.35,35.94,15,Rainy,1,32.4,Autumn
2025-04-15,S002,P0011,Groceries,South,217,162,98,182.04,93.51,10,Rainy,0,92.49,Winter
2025-04-15,S002,P0012,Toys,North,406,270,129,227.65,41.18,15,Rainy,1,41.73,Winter
2025-04-15,S002,P0013,Clothing,East,468,8,125,9.3,17.17,20,Rainy,0,17.34,Summer
2025-04-15,S002,P0014,Toys,South,120,68,104,77.43,86.85,20,Rainy,0,82.17,Winter
2025-04-15,S002,P0015,Clothing,South,309,8,102,9.48,32.82,0,Rainy,1,34.76,Winter
2025-04-15,S002,P0016,Toys,North,147,125,187,149.78,46.27,0,Snowy,0,44.55,Summer
2025-04-15,S002,P0017,Furniture,North,358,307,76,285.27,26.95,20,Sunny,0,26.17,Autumn
2025-04-15,S002,P0018,Groceries,North,328,173,70,176.53,35.89,15,Sunny,1,36.64,Spring
2025-04-15,S002,P0019,Clothing,West,179,175,154,141.19,25.75,0,Sunny,0,27.85,Winter
2025-04-15,S002,P0020,Toys,West,121,105,81,118.0,47.79,10,Sunny,0,49.93,Summer
2025-04-15,S003,P0001,Toys,East,475,59,85,61.0,39.23,15,Cloudy,1,41.65,Spring
2025-04-15,S003,P0002,Clothing,South,207,143,59,163.5,62.58,15,Snowy,1,57.5,Spring
2025-04-15,S003,P0003,Electronics,South,92,72,35,62.47,63.61,20,Rainy,0,59.15,Summer
2025-04-15,S003,P0004,Furniture,South,251,183,59,194.89,23.73,15,Cloudy,1,22.24,Summer
2025-04-15,S003,P0005,Groceries,West,54,21,85,17.53,53.57,15,Sunny,0,57.08,Winter
2025-04-15,S003,P0006,Groceries,South,409,10,51,11.85,69.61,0,Rainy,1,73.33,Winter
2025-04-15,S003,P0007,Groceries,North,418,393,54,390.97,71.01,0,Rainy,1,65.46,Autumn
2025-04-15,S003,P0008,Furniture,South,380,286,196,282.86,85.4,10,Sunny,1,79.59,Summer
2025-04-15,S003,P0009,Clothing,North,62,35,124,29.36,90.45,5,Snowy,1,83.58,Autumn
2025-04-15,S003,P0010,Groceries,North,344,122,114,144.78,95.2,10,Snowy,1,90.79,Winter
2025-04-15,S003,P0011,Furniture,South,316,47,138,49.75,86.41,10,Cloudy,1,85.44,Winter
2025-04-15,S003,P0012,Clothing,West,100,60,53,69.92,21.21,0,Snowy,0,20.17,Autumn
2025-04-15,S003,P0013,Groceries,East,130,71,60,74.39,84.74,20,Sunny,1,87.05,Winter
2025-04-15,S003,P0014,Clothing,East,116,15,96,16.83,88.66,20,Rainy,0,80.02,Winter
2025-04-15,S003,P0015,Electronics,East,76,44,200,49.57,16.3,15,Sunny,1,16.26,Winter
2025-04-15,S003,P0016,Electronics,North,194,87,112,72.73,65.76,10,Cloudy,1,71.51,Summer
2025-04-15,S003,P0017,Electronics,South,197,100,84,117.25,86.98,5,Snowy,0,93.5,Spring
2025-04-15,S003,P0018,Electronics,South,473,137,135,121.6,60.74,20,Snowy,0,57.0,Summer
